"counterbalance_group","counterbalance_remaining","consent_started","consent_stopped","key_resp_7_keys","key_resp_7_rt","key_resp_7_duration","age","gender","date","exp_name","psychopy_version","os","frame_rate","instructions_started","instructions_stopped","key_resp_2_keys","key_resp_2_rt","key_resp_2_duration","instructions_2_started","instructions_2_stopped","key_resp_4_keys","key_resp_4_rt","key_resp_4_duration","trial_started","key_resp_actual","trial_stopped","correct","approach","friendly","block","key_resp_keys","feedback_started","feedback_stopped","cue_started","cue_stopped","intertrial_interval_started","intertrial_interval_stopped","trials_this_rep_n","trials_this_trial_n","trials_this_n","trials_this_index","trials_ran","alien_stim","category","verification_trial_started","verification_trial_stopped","verification_correct","verification_prompt","key_resp_6_keys","key_resp_6_rt","key_resp_6_duration","block_feedback_started","block_feedback_stopped","key_resp_3_keys","key_resp_3_rt","key_resp_3_duration","end_game_started","end_game_stopped","key_resp_5_keys","key_resp_5_rt","key_resp_5_duration"
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361.8342,"[""down""]",364.2573,0,FALSE,1,3,NA,364.2576,365.4501,365.4504,367.25,367.2501,368.2508,0,3,3,6,1,"resources/F7Mch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.2518,"[""right""]",370.6166,1,FALSE,0,3,NA,370.617,371.8167,371.8175,373.6169,373.6169,374.6167,0,4,4,10,1,"resources/F8Fch0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.6173,"[""down""]",376.9667,1,FALSE,0,3,NA,376.967,378.1667,378.1669,379.9666,379.9666,380.9666,0,5,5,9,1,"resources/F8Fbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.9673,"[""up""]",383.5502,1,FALSE,0,3,NA,383.5508,384.75,384.7502,386.5497,386.5497,387.5498,0,6,6,12,1,"resources/F8Mah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387.5505,"[""left""]",390.116,1,FALSE,0,3,NA,390.1165,391.3162,391.3165,393.1163,393.1163,394.1161,0,7,7,15,1,"resources/F8Mdh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394.1166,"[""up""]",401.416,1,FALSE,0,3,NA,401.4164,402.6159,402.6163,404.4161,404.4161,405.416,0,8,8,13,1,"resources/F8Mbh0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405.4166,"[""right""]",410.4489,1,TRUE,1,3,NA,410.4494,411.6489,411.6495,413.4491,413.4491,414.449,0,9,9,2,1,"resources/F7Fch0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.4496,"[""up""]",417.0491,0,FALSE,1,3,NA,417.0495,418.249,418.2493,420.049,420.049,421.0486,0,10,10,7,1,"resources/F7Mdh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421.0492,"[""right""]",423.0322,1,FALSE,0,3,NA,423.0326,424.2324,424.2337,426.0325,426.0325,427.0325,0,11,11,8,1,"resources/F8Fah0.png",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.0332,"[""up""]",428.9819,1,TRUE,1,3,NA,428.9823,430.1823,430.1832,431.9822,431.9822,432.982,0,12,12,0,1,"resources/F7Fah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.9826,"[""right""]",436.5653,0,FALSE,1,3,NA,436.5657,437.7651,437.7654,439.565,439.5651,440.5648,0,13,13,4,1,"resources/F7Mah0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,46,"Female","2025-11-21_15h54.59.928","Category_Training_LabelWritten","2024.2.4","Win32",59.52380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440.5655,"[""down""]",444.4649,1,TRUE,1,3,NA,444.4653,445.6554,445.6557,447.4648,447.4648,448.465,0,14,14,5,1,"resources/F7Mbh0.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
